Player Name,Team,Rating,Total Rating,Goals,Assists,Expected Goals,Expected Assists,Accurate Passes,Inaccurate Passes,Total Passes,Successful Dribbles,Yellow Cards,Red Cards,Shots On Target,Total Shots,Minutes Played,Appearances,ID
mikel-merino,Real Sociedad,7.21875,231.0,5,3,3.2992,2.76313889,1069,311,1380,24,10,0,11,30,2485,32,592010
brais-mendez,Real Sociedad,7.1903225806452,222.9,5,6,4.0226,4.37941219,853,204,1057,24,6,0,16,62,2330,31,845385
jon-aramburu,Real Sociedad,6.72,67.2,0,0,0.1429,0.09689928,209,44,253,2,3,0,0,4,532,10,1116388
benat-turrientes,Real Sociedad,6.7285714285714,188.4,0,1,1.164,0.52091288,555,88,643,21,4,0,10,22,1619,28,980410
jon-ander-olasagasti,Real Sociedad,6.675,80.1,0,0,0.8122,0.17184121,121,39,160,6,2,0,0,8,348,13,1010383
alvaro-odriozola,Real Sociedad,6.575,52.6,0,0,,0.2097049,167,21,188,2,0,0,0,0,397,9,353250
kieran-tierney,Real Sociedad,6.9263157894737,131.6,0,2,0.1897,1.09535554,530,141,671,6,1,0,0,2,1168,19,366592
hamari-traore,Real Sociedad,6.9166666666667,207.5,0,2,0.5418,2.2191657,989,184,1173,16,7,0,2,18,2206,30,362014
robin-le-normand,Real Sociedad,6.9724137931034,202.2,2,0,1.0855,0.78870788,1562,200,1762,1,13,0,5,8,2473,29,787751
javi-galan,Real Sociedad,6.8263157894737,129.7,0,1,0.138,1.0898797,445,99,544,20,4,0,1,3,1174,19,825133
igor-zubeldia,Real Sociedad,6.8466666666667,205.4,0,2,0.7605,0.80991156,1475,260,1735,4,11,1,0,12,2524,30,838159
aihen-munoz,Real Sociedad,6.8380952380952,143.6,0,2,0.2932,0.89581529691,391,115,506,10,2,0,2,7,1132,21,966441
aritz-elustondo,Real Sociedad,6.8928571428571,96.5,0,1,0.2591,0.08026255,305,49,354,2,2,0,2,6,726,14,785468
jon-pacheco,Real Sociedad,6.8380952380952,143.6,1,1,1.0574,0.334432199,929,141,1070,4,7,0,3,6,1440,22,934383
urko-gonzalez,Real Sociedad,6.575,26.3,0,0,0.0353,0.0395473,67,18,85,0,1,0,0,1,148,4,1064009
alex-remiro,Real Sociedad,7.1444444444444,257.2,0,0,0,0.06127094,837,287,1124,0,2,1,0,0,3186,36,791773
unai-marrero,Real Sociedad,6.65,13.3,0,0,,0.05263072,23,17,40,0,0,0,0,0,141,2,1094782
gorka-guruzeta,Athletic Club,7.190625,230.1,14,5,11.7074,1.76133927,418,183,601,19,2,0,31,64,2240,32,605672
asier-villalibre,Athletic Club,6.7235294117647,114.3,2,1,1.7249,0.66007855,85,30,115,4,0,0,6,12,463,17,355072
malcom-ares,Athletic Club,6.675,80.1,0,0,0.1045,0.07087378,79,14,93,15,2,0,0,4,272,12,1391487
inaki-williams,Athletic Club,7.3205882352941,248.9,12,3,9.4442,5.7614867,632,225,857,49,4,0,43,93,2855,34,783374
nico-williams,Athletic Club,7.0966666666667,212.9,4,11,5.1499,7.45763176,504,132,636,84,4,1,18,52,2190,30,1085400
ander-herrera,Athletic Club,6.9260869565217,159.3,0,3,0.7332,1.91072913,638,99,737,5,4,0,2,14,1023,23,82474
oihan-sancet,Athletic Club,6.92,207.6,4,5,6.2956,2.94116863,634,132,766,26,3,2,12,42,1991,30,966801
iker-muniain,Athletic Club,6.775,135.5,2,0,1.744,1.31164373,336,42,378,13,1,0,7,13,607,20,71707
alex-berenguer,Athletic Club,6.8666666666667,226.6,7,2,5.1543,3.32003277,308,118,426,20,4,0,12,31,1491,34,592012
raul-garcia,Athletic Club,6.5736842105263,124.9,1,0,0.9249,0.50588348,70,44,114,2,4,0,1,10,386,19,4581
mikel-vesga,Athletic Club,6.837037037037,184.6,3,1,2.7129,1.24667331,635,179,814,2,2,0,7,19,1545,27,359742
inigo-ruiz-de-galarreta,Athletic Club,6.9892857142857,195.7,1,1,0.3176,2.46533733,932,190,1122,20,6,0,2,10,2014,28,96365
dani-garcia,Athletic Club,6.68125,106.9,1,0,0.7724,0.19420294,252,44,296,1,4,0,3,6,652,16,298920
unai-gomez,Athletic Club,6.725,161.4,2,0,1.4152,0.7162876,185,46,231,11,1,0,8,15,845,24,1391375
benat-prados,Athletic Club,6.85,178.1,0,0,0.4863,1.00003732,652,130,782,12,1,0,4,7,1456,26,1012409
yuri-berchiche,Athletic Club,7.1384615384615,185.6,3,1,0.9034,2.01651504,859,168,1027,9,5,0,6,18,1872,26,84531
daniel-vivian,Athletic Club,6.925,221.6,0,0,0.6919,0.58787113,1427,261,1688,5,6,0,1,11,2834,32,910978
yeray-alvarez,Athletic Club,6.8055555555556,122.5,0,0,0.2757,0.35967993,560,124,684,2,1,1,2,7,1110,18,807648
oscar-de-marcos,Athletic Club,7.0464285714286,197.3,1,5,0.6317,3.36874787,973,199,1172,6,5,0,2,5,2261,28,52663
aitor-paredes,Athletic Club,6.7969696969697,224.3,1,0,1.1865,0.3558216,1305,210,1515,2,7,1,3,14,2626,33,959872
inigo-lekue,Athletic Club,6.7346153846154,175.1,0,2,0.167,0.86024535,806,192,998,18,4,0,0,5,1911,26,801837
imanol-garcia-de-albeniz,Athletic Club,6.6625,53.3,0,0,0.0149,0.2865354,209,41,250,4,2,0,0,1,492,8,1009662
unai-simon,Athletic Club,7.08,247.8,0,0,0,0.07935778,573,474,1047,0,2,0,0,0,3122,35,797291
julen-agirrezabala,Athletic Club,6.9333333333333,20.8,0,0,,0.0052481,42,25,67,0,0,0,0,0,208,3,1014412
roman-yaremchuk,Valencia CF,6.5782608695652,151.3,3,0,4.6401,0.22772484,141,62,203,5,2,0,9,18,941,25,829296
hugo-duro,Valencia CF,7.0138888888889,252.5,13,2,11.5354,0.6050613,401,151,552,13,4,0,29,66,2981,36,909119
peter-gonzalez,Valencia CF,6.7214285714286,94.1,0,0,1.6292,0.53069629,91,39,130,11,1,0,6,16,625,14,1048927
